2025-03-30 14:55:43 INFO: Database connection established.
2025-03-30 14:55:43 INFO: Processing XML in xml
2025-03-30 14:55:43 INFO: Inserting from xml\Avis_20090101_20091231.xml
2025-03-30 15:06:37 INFO: Inserting from xml\Contrats_20090101_20091231.xml
2025-03-30 15:06:37 INFO: Inserting from xml\Depenses_20090101_20091231.xml
2025-03-30 15:06:37 INFO: Inserting from xml\Avis_20100101_20101231.xml
2025-03-30 15:32:51 INFO: Inserting from xml\Contrats_20100101_20101231.xml
2025-03-30 15:32:51 INFO: Inserting from xml\Depenses_20100101_20101231.xml
2025-03-30 15:32:51 INFO: Inserting from xml\Avis_20110101_20111231.xml
2025-03-30 16:42:35 INFO: Inserting from xml\Contrats_20110101_20111231.xml
2025-03-30 16:42:35 INFO: Inserting from xml\Depenses_20110101_20111231.xml
2025-03-30 16:42:35 INFO: Inserting from xml\Avis_20120101_20121231.xml
2025-03-30 18:31:17 INFO: Inserting from xml\Contrats_20120101_20121231.xml
2025-03-30 18:31:20 INFO: Inserting from xml\Depenses_20120101_20121231.xml
2025-03-30 18:31:20 INFO: Inserting from xml\Avis_20130101_20131231.xml
2025-03-30 21:25:54 INFO: Inserting from xml\Contrats_20130101_20131231.xml
2025-03-30 21:26:10 INFO: Inserting from xml\Depenses_20130101_20131231.xml
2025-03-30 21:26:10 INFO: Inserting from xml\Avis_20140101_20141231.xml
2025-03-31 00:18:55 INFO: Inserting from xml\Contrats_20140101_20141231.xml
2025-03-31 00:19:35 INFO: Inserting from xml\Depenses_20140101_20141231.xml
2025-03-31 00:19:36 INFO: Inserting from xml\Avis_20150101_20151231.xml
2025-03-31 03:26:18 INFO: Inserting from xml\Contrats_20150101_20151231.xml
2025-03-31 03:26:52 ERROR: Cannot process contrat record from xml\Contrats_20150101_20151231.xml because primary key field is missing: numeroseao='942066', numero=''
2025-03-31 03:26:52 INFO: Inserting from xml\Depenses_20150101_20151231.xml
2025-03-31 03:26:53 INFO: Inserting from xml\Avis_20160101_20161231.xml
2025-03-31 07:04:39 INFO: Inserting from xml\Contrats_20160101_20161231.xml
2025-03-31 07:04:54 INFO: Inserting from xml\Depenses_20160101_20161231.xml
2025-03-31 07:04:56 INFO: Inserting from xml\Avis_20170101_20171231.xml
2025-03-31 11:13:22 INFO: Inserting from xml\Contrats_20170101_20171231.xml
2025-03-31 11:13:38 ERROR: Cannot process contrat record from xml\Contrats_20170101_20171231.xml because primary key field is missing: numeroseao='1066967', numero=''
2025-03-31 11:13:40 INFO: Inserting from xml\Depenses_20170101_20171231.xml
2025-03-31 11:13:42 INFO: Inserting from xml\Avis_20180101_20180131.xml
2025-03-31 11:28:57 INFO: Inserting from xml\Contrats_20180101_20180131.xml
2025-03-31 11:28:59 INFO: Inserting from xml\Depenses_20180101_20180131.xml
2025-03-31 11:29:00 INFO: Inserting from xml\AvisRevisions_20180101_20180131.xml
2025-03-31 11:30:40 INFO: Inserting from xml\ContratsRevisions_20180101_20180131.xml
2025-03-31 11:30:41 INFO: Inserting from xml\DepensesRevisions_20180101_20180131.xml
2025-03-31 11:30:42 INFO: Inserting from xml\Avis_20180201_20180228.xml
2025-03-31 11:48:07 INFO: Inserting from xml\Contrats_20180201_20180228.xml
2025-03-31 11:48:08 INFO: Inserting from xml\Depenses_20180201_20180228.xml
2025-03-31 11:48:08 INFO: Inserting from xml\AvisRevisions_20180201_20180228.xml
2025-03-31 11:49:03 INFO: Inserting from xml\ContratsRevisions_20180201_20180228.xml
2025-03-31 11:49:05 INFO: Inserting from xml\DepensesRevisions_20180201_20180228.xml
2025-03-31 11:49:05 INFO: Inserting from xml\Avis_20180301_20180331.xml
2025-03-31 12:08:51 INFO: Inserting from xml\Contrats_20180301_20180331.xml
2025-03-31 12:08:52 INFO: Inserting from xml\Depenses_20180301_20180331.xml
2025-03-31 12:08:54 INFO: Inserting from xml\AvisRevisions_20180301_20180331.xml
2025-03-31 12:10:37 INFO: Inserting from xml\ContratsRevisions_20180301_20180331.xml
2025-03-31 12:10:37 INFO: Inserting from xml\DepensesRevisions_20180301_20180331.xml
2025-03-31 12:10:37 INFO: Inserting from xml\Avis_20180401_20180430.xml
2025-03-31 12:34:06 INFO: Inserting from xml\Contrats_20180401_20180430.xml
2025-03-31 12:34:09 INFO: Inserting from xml\Depenses_20180401_20180430.xml
2025-03-31 12:34:09 INFO: Inserting from xml\AvisRevisions_20180401_20180430.xml
2025-03-31 12:34:59 INFO: Inserting from xml\ContratsRevisions_20180401_20180430.xml
2025-03-31 12:35:00 INFO: Inserting from xml\DepensesRevisions_20180401_20180430.xml
2025-03-31 12:35:00 INFO: Inserting from xml\Avis_20180501_20180531.xml
2025-03-31 13:01:41 INFO: Inserting from xml\Contrats_20180501_20180531.xml
2025-03-31 13:01:42 ERROR: Cannot process contrat record from xml\Contrats_20180501_20180531.xml because primary key field is missing: numeroseao='918517', numero=''
2025-03-31 13:01:43 INFO: Inserting from xml\Depenses_20180501_20180531.xml
2025-03-31 13:01:43 INFO: Inserting from xml\AvisRevisions_20180501_20180531.xml
2025-03-31 13:03:28 INFO: Inserting from xml\ContratsRevisions_20180501_20180531.xml
2025-03-31 13:03:28 INFO: Inserting from xml\DepensesRevisions_20180501_20180531.xml
2025-03-31 13:03:28 INFO: Inserting from xml\Avis_20180601_20180630.xml
2025-03-31 13:33:09 INFO: Inserting from xml\Contrats_20180601_20180630.xml
2025-03-31 13:33:13 INFO: Inserting from xml\Depenses_20180601_20180630.xml
2025-03-31 13:33:13 INFO: Inserting from xml\AvisRevisions_20180601_20180630.xml
2025-03-31 13:35:10 INFO: Inserting from xml\ContratsRevisions_20180601_20180630.xml
2025-03-31 13:35:12 INFO: Inserting from xml\DepensesRevisions_20180601_20180630.xml
2025-03-31 13:35:12 INFO: Inserting from xml\Avis_20180701_20180731.xml
2025-03-31 14:05:34 INFO: Inserting from xml\Contrats_20180701_20180731.xml
2025-03-31 14:05:35 INFO: Inserting from xml\Depenses_20180701_20180731.xml
2025-03-31 14:05:35 INFO: Inserting from xml\AvisRevisions_20180701_20180731.xml
2025-03-31 14:06:57 INFO: Inserting from xml\ContratsRevisions_20180701_20180731.xml
2025-03-31 14:06:57 INFO: Inserting from xml\DepensesRevisions_20180701_20180731.xml
2025-03-31 14:06:57 INFO: Inserting from xml\Avis_20180801_20180831.xml
2025-03-31 14:29:16 INFO: Inserting from xml\Contrats_20180801_20180831.xml
2025-03-31 14:29:19 INFO: Inserting from xml\Depenses_20180801_20180831.xml
2025-03-31 14:29:20 INFO: Inserting from xml\AvisRevisions_20180801_20180831.xml
2025-03-31 14:31:31 INFO: Inserting from xml\ContratsRevisions_20180801_20180831.xml
2025-03-31 14:31:32 INFO: Inserting from xml\DepensesRevisions_20180801_20180831.xml
2025-03-31 14:31:32 INFO: Inserting from xml\Avis_20180901_20180930.xml
2025-03-31 14:52:48 INFO: Inserting from xml\Contrats_20180901_20180930.xml
2025-03-31 14:52:51 INFO: Inserting from xml\Depenses_20180901_20180930.xml
2025-03-31 14:52:51 INFO: Inserting from xml\AvisRevisions_20180901_20180930.xml
2025-03-31 14:54:17 INFO: Inserting from xml\ContratsRevisions_20180901_20180930.xml
2025-03-31 14:54:18 INFO: Inserting from xml\DepensesRevisions_20180901_20180930.xml
2025-03-31 14:54:19 INFO: Inserting from xml\Avis_20181001_20181031.xml
2025-03-31 15:17:32 INFO: Inserting from xml\Contrats_20181001_20181031.xml
2025-03-31 15:17:34 INFO: Inserting from xml\Depenses_20181001_20181031.xml
2025-03-31 15:17:35 INFO: Inserting from xml\AvisRevisions_20181001_20181031.xml
2025-03-31 15:19:54 INFO: Inserting from xml\ContratsRevisions_20181001_20181031.xml
2025-03-31 15:19:55 INFO: Inserting from xml\DepensesRevisions_20181001_20181031.xml
2025-03-31 15:19:55 INFO: Inserting from xml\Avis_20181101_20181130.xml
2025-03-31 15:41:09 INFO: Inserting from xml\Contrats_20181101_20181130.xml
2025-03-31 15:41:11 INFO: Inserting from xml\Depenses_20181101_20181130.xml
2025-03-31 15:41:11 INFO: Inserting from xml\AvisRevisions_20181101_20181130.xml
2025-03-31 15:43:07 INFO: Inserting from xml\ContratsRevisions_20181101_20181130.xml
2025-03-31 15:43:07 INFO: Inserting from xml\DepensesRevisions_20181101_20181130.xml
2025-03-31 15:43:08 INFO: Inserting from xml\Avis_20181201_20181231.xml
2025-03-31 16:03:32 INFO: Inserting from xml\Contrats_20181201_20181231.xml
2025-03-31 16:03:34 INFO: Inserting from xml\Depenses_20181201_20181231.xml
2025-03-31 16:03:35 INFO: Inserting from xml\AvisRevisions_20181201_20181231.xml
2025-03-31 16:05:27 INFO: Inserting from xml\ContratsRevisions_20181201_20181231.xml
2025-03-31 16:05:27 INFO: Inserting from xml\DepensesRevisions_20181201_20181231.xml
2025-03-31 16:05:27 INFO: Inserting from xml\Avis_20190101_20190131.xml
2025-03-31 16:24:17 INFO: Inserting from xml\Contrats_20190101_20190131.xml
2025-03-31 16:24:18 INFO: Inserting from xml\Depenses_20190101_20190131.xml
2025-03-31 16:24:18 INFO: Inserting from xml\AvisRevisions_20190101_20190131.xml
2025-03-31 16:25:59 INFO: Inserting from xml\ContratsRevisions_20190101_20190131.xml
